productid,rate,cmt,username
626fc74a92862a001100093b,5,As it is described in detail i7 10 gen. Their details is confusing in mentioned in product discription and product specifications. But its good to receive i10 as described. Also built quality and performance is good after installing and using several apps.,", Ahmedabad"
626fc74a92862a001100093b,5,100% value for money but battery backup not too good 3-4hours so use charger to do heavy works.,", Jorapokhar"
626fc74a92862a001100093d,5,nice at the price range,", Kannauj District"
626fc74a92862a001100093d,5,Very nice laptop best in this price,", Nashik District"
626fc74a92862a0011000942,4,Nice,", Dhanbad"
626fc74a92862a001100094c,4,Everything is fine except the position of cooling fan,", Mathura"
626fc74a92862a001100094d,5,"This is my first time buying an Acer laptop, and I am impressed. Purchased it two weeks back and it arrived in a good looking box, you could tell that they are have put in a lot of thought to make this product. The body design or texture is nothing like what I have seen before and I could not find one plastic packaging material used in the box. The laptop set up was rather easy and it boots real quick. Using it is a breeze and I proudly show it off to my friends now. I am the only one who use...",", Bengaluru"
626fc74a92862a0011000952,5,Value For Money...Love it 🤩,", Bhubaneswar"
626fc74a92862a0011000952,5,go for it,", Noida"
626fc74a92862a0011000952,5,Value for money and good to buy,", Daudnagar"
626fc74a92862a0011000951,4,Good product for normal works I open to Manny application and browser with Excel works everything running normal at same time,", Patna"
626fc74a92862a0011000955,5,nice at the price range,", Kannauj District"
626fc74a92862a0011000955,5,Very nice laptop best in this price,", Nashik District"
626fc74a92862a001100095b,5,Loved it.....stylish and sleek ...overall a great product in this price range,", Hyderabad"
626fc74a92862a001100095f,5,Yes best laptop Acer aspire 5 👍👍👍,", Othakalmandapam"
626fc74a92862a001100095f,5,Loved it totally,", Lucknow"
626fc74a92862a001100095f,1,Worst product,", New Delhi"
626fc74a92862a0011000969,4,Good product for normal works I open to Manny application and browser with Excel works everything running normal at same time,", Patna"
626fc74a92862a0011000975,5,nice at the price range,", Kannauj District"
626fc74a92862a0011000975,5,Very nice laptop best in this price,", Nashik District"
626fc74a92862a001100097b,4,Every thing is ok but battery life is short,", Kailashahar"
626fc74a92862a001100097b,5,It's a good product..... I like it,", Kamalpur"
626fc74a92862a001100097b,4,"You can do your regular works, classes perfectly. I don't play games and it's not for extreme gaming also. Sound quality is quite good. ",", Balurghat"
626fc74a92862a0011000981,4,Good product for normal works I open to Manny application and browser with Excel works everything running normal at same time,", Patna"
626fc74a92862a0011000982,4,Good laptop,", Thiruvananthapuram"
626fc74a92862a0011000984,5,I have purchase this product bajaj finance and. I am very happy and satisfied  in this product price.. its love it.. wow just wow ,", Bilaspur"
626fc74a92862a0011000985,5,nice at the price range,", Kannauj District"
626fc74a92862a0011000985,5,Very nice laptop best in this price,", Nashik District"
626fc74a92862a001100098c,5,Good 👍🏻,", Bengaluru"
626fc74a92862a001100098c,4,Worth for money decent performance good battery back-up,", Chennai"
626fc74a92862a001100098c,5,Loved it it's great,", Ghaziabad"
626fc74a92862a0011000995,5,Very good product...very good speed coz of SSD and display quality also very good...,", Bachhrawan"
626fc74a92862a0011000995,5,Good product,", Prayagraj"
626fc74a92862a0011000999,4,Good product for normal works I open to Manny application and browser with Excel works everything running normal at same time,", Patna"
626fc74a92862a001100099d,5,nice at the price range,", Kannauj District"
626fc74a92862a001100099d,5,Very nice laptop best in this price,", Nashik District"
626fc74a92862a001100099f,4,"The product is very good, delivery was awesome ... but one thing I thought Flipkart will provide a bag but there is no such extra item from them.",", Narkher"
626fc74a92862a001100099f,3,Battery backup is mentioned as 10 Hrs. I am not using extensively but still it is giving less than 4 hrs. ,", Bengaluru"
626fc74a92862a00110009a0,5,Superb 🥰,", Bathinda"
626fc74a92862a00110009b0,5,Pros:,", Chennai"
626fc74a92862a00110009c3,5,One of the best laptop for this Budget.  You can give it a shot.  True Beast.,", Chennai"
626fc74a92862a00110009c6,4,Good finish,", Tadpatri"
626fc74a92862a00110009c8,5,"This product is gorgeous. The ssd and hdd combination makes it a bit faster, I'm thankful to flipkart for dilivered this product within three days",", Jhunjhunun District"
626fc74a92862a00110009cc,3,It is very good purchase but disappointed with battery performance. It is lasting only 2hours after charged 100%. Except battery issue everything is very good.,", Hyderabad"
626fc74a92862a00110009cc,5,Good Laptop....fulfills all basic needs...quick...good display....light weight,", Washim"
626fc74a92862a00110009cc,5,Good,", Hyderabad"
626fc74a92862a00110009cd,5,nice at the price range,", Kannauj District"
626fc74a92862a00110009cd,5,Very nice laptop best in this price,", Nashik District"
626fc74a92862a00110009ce,5,"Excellent performance and build quality. Don't worry about lid flex that is perfectly normal in most gaming laptops. Though it is 300 nits screen, brightness is still good. AMD Ryzen and Nvidia RTX 3070 is a beast combo. Do note that this is the RTX 3070 with Max-Q design. The machine is perfect for data analysts and Machine Learning and Deep Learning Algorithms. It is also eligible for free Windows 11 upgrade. Will update a detailed review after a month long use.",", Nagpur"
626fc74a92862a00110009ce,5,Pretty good,", Vijayawada"
626fc74a92862a00110009c9,4,Good product for normal works I open to Manny application and browser with Excel works everything running normal at same time,", Patna"
626fc74a92862a00110009d0,3,Harman kardon sound output not so good,", Mumbai"
626fc74a92862a00110009de,5,After 7 days of usage i Will recommend this product to all for study purpose. The seller is good .I buyed from TBL online,", Bilaspur"
626fc74a92862a00110009de,5,Worthy....gud one,", Jalandhar"
626fc74a92862a00110009dd,5,Very good product...very good speed coz of SSD and display quality also very good...,", Bachhrawan"
626fc74a92862a00110009dd,5,Good product,", Prayagraj"
626fc74a92862a00110009e2,4,Heating issues design good display good performance good,", Chittoor District"
626fc74a92862a00110009e5,4,Good product for normal works I open to Manny application and browser with Excel works everything running normal at same time,", Patna"
626fc74a92862a00110009e8,5,Nice laptop,", Ambejogai"
626fc74a92862a00110009e8,5,"A1, using from 3 months no issue at all",", Tikamgarh District"
626fc74a92862a00110009e8,5,Best in performance,", Bhimavaram"
626fc74a92862a00110009eb,5,Go for it guys.,", Chittoor District"
626fc74a92862a00110009eb,3,Fake information is provided by the seller. They have wrote that bag is provided in additional features but they didn't delivered the laptop bag as they should have. I m very much disappointed with this.😡😠,", Pernem"
626fc74a92862a00110009eb,5,Really no product and quality like this in this price best lapi i got ever,", Faridabad"
626fc74a92862a00110009ec,1,Worst experience for battery backup.,", Baruipur"
626fc74a92862a00110009ec,5,Worth for money:,", Hassan"
626fc74a92862a00110009ef,5,Very nice laptop with good features.. Thanks flipkart for the delivery on a day before expected delivery.its  a little bit heavy one.backlit keyboard and fingerprint sensor are working very good. Thanks to electronicsbuzz seller for nice packaging.,", Orai"
626fc74a92862a00110009ef,5,"Asus is Taiwan made product. Loved the look, feel performance, wanted it as a replacement for my House Desktop. Amazing backup",", Mumbai"
626fc74a92862a00110009f5,5,"This is my first time buying an Acer laptop, and I am impressed. Purchased it two weeks back and it arrived in a good looking box, you could tell that they are have put in a lot of thought to make this product. The body design or texture is nothing like what I have seen before and I could not find one plastic packaging material used in the box. The laptop set up was rather easy and it boots real quick. Using it is a breeze and I proudly show it off to my friends now. I am the only one who use...",", Bengaluru"
626fc74a92862a00110009f9,4,Good product for normal works I open to Manny application and browser with Excel works everything running normal at same time,", Patna"
626fc74a92862a00110009fd,5,nice at the price range,", Kannauj District"
626fc74a92862a00110009fd,5,Very nice laptop best in this price,", Nashik District"
626fc74a92862a0011000a00,5,"This is my first time buying an Acer laptop, and I am impressed. Purchased it two weeks back and it arrived in a good looking box, you could tell that they are have put in a lot of thought to make this product. The body design or texture is nothing like what I have seen before and I could not find one plastic packaging material used in the box. The laptop set up was rather easy and it boots real quick. Using it is a breeze and I proudly show it off to my friends now. I am the only one who use...",", Bengaluru"
626fc74a92862a00110009fc,5,"Excellent laptop by dell, packing should be more strong and careful, faster delivery by flipkart in 2 days, laptop performance as expected, if they give Dell bag also we might feel happy for the price",", Visakhapatnam"
626fc74a92862a00110009fc,5,"Laptop Performance is very good. The specifications are extraordinary. It's been 15 days since the purchase of laptop, the laptop for my research in Machine learning is so helpful.lastly,  Delivery by flipkart was so prompt",", Tadepalli"
626fc74a92862a0011000a02,5,First day review,", Guntur"
626fc74a92862a0011000a02,4,Nice product ...,", Bengaluru"
626fc74a92862a0011000a03,5,Awesome,", Namakkal"
626fc74a92862a0011000a04,4,Awesome laptop but E-kart service is not proper,", Mumbai"
626fc74a92862a0011000a04,5,Nice performance...,", Lucknow"
626fc74a92862a0011000a04,5,Best laptop in this price range,", Hajipur"
626fc74a92862a00110009e4,4,Everything is fine... Just Speaker is little bit slow... Rest everything is upto the mark... Using First Laptop Of MSI... Highly Satisfied From MSI,", Bishunipur"
626fc74a92862a00110009e4,4,Good,", Patna"
626fc74a92862a00110009e4,5,Nice laptop...,", Haringhata Farm"
626fc74a92862a0011000a0d,5,Very good product...very good speed coz of SSD and display quality also very good...,", Bachhrawan"
626fc74a92862a0011000a0d,5,Good product,", Prayagraj"
626fc74a92862a0011000a0e,5,It has been 2weeks,", Bengaluru"
626fc74a92862a00110009b1,4,Good product for normal works I open to Manny application and browser with Excel works everything running normal at same time,", Patna"
626fc74a92862a0011000a11,4,Good product for normal works I open to Manny application and browser with Excel works everything running normal at same time,", Patna"
626fc74a92862a0011000a20,4,Good.,", Kalyan"
626fc74a92862a0011000a20,4,Awesome Look,", Ramanathapuram"
626fc74a92862a0011000a20,1,Battery not good.,", Rajula"
626fc74a92862a0011000a21,5,Very good product...very good speed coz of SSD and display quality also very good...,", Bachhrawan"
626fc74a92862a0011000a21,5,Good product,", Prayagraj"
626fc74a92862a0011000a29,4,Good product for normal works I open to Manny application and browser with Excel works everything running normal at same time,", Patna"
626fc74a92862a0011000a2d,5,nice at the price range,", Kannauj District"
626fc74a92862a0011000a2d,5,Very nice laptop best in this price,", Nashik District"
626fc74a92862a0011000a37,3,"I brought this product on festival sale got this one lesser than retail stores. I am happy with that, overall performance good. But battery and sometimes heating more for normal browsing as well. Don't know is this similar issues for all macbook Pro. Looks like battery backup is come maximum 3 hours. Thanks for the great product flipkart.",", Bengaluru"
626fc74a92862a0011000a37,5,Good quality,", Chennai"
626fc74a92862a0011000a37,2,Battery wasn't working out of sealed box.,", Mira Bhayandar"
626fc74a92862a0011000a41,4,Good product for normal works I open to Manny application and browser with Excel works everything running normal at same time,", Patna"
626fc74a92862a0011000a43,1,battery performance very poor .,", Kavali"
626fc74a92862a0011000a48,5,Absolute killer for the budget. Totally worth the buy. There are very few laptops out there that can beat these specs and in the budget.,", Gurgram"
626fc74a92862a0011000a48,2,Very bad battery life is only 2 hr and very slow charging I think this model is issue,", Chandigarh"
626fc74a92862a0011000a48,1,"Quality control issues. Display has got 3 prominent issues: 1- Dead pixels, 2- Screen bleedings around the edges and 3- Screen switching on and off regularly/flickering. Performance seemed good. Not at all recommend at this high price.",", Madurai"
626fc74a92862a0011000a55,5,"This is my first time buying an Acer laptop, and I am impressed. Purchased it two weeks back and it arrived in a good looking box, you could tell that they are have put in a lot of thought to make this product. The body design or texture is nothing like what I have seen before and I could not find one plastic packaging material used in the box. The laptop set up was rather easy and it boots real quick. Using it is a breeze and I proudly show it off to my friends now. I am the only one who use...",", Bengaluru"
626fc74a92862a0011000a5a,5,Awesome display only drawback is speaker are down firing..,", Bengaluru"
626fc74a92862a0011000a5e,1,WiFi is frequently disconnecting,", Tiruvannamalai District"
626fc74a92862a0011000a5e,5,"As always Lenovo Thinkpad is best for Office use. Rugged, good speed and best keyboard.",", Mumbai"
626fc74a92862a0011000a59,5,nice at the price range,", Kannauj District"
626fc74a92862a0011000a59,5,Very nice laptop best in this price,", Nashik District"
626fc74a92862a0011000a62,4,Good product for normal works I open to Manny application and browser with Excel works everything running normal at same time,", Patna"
626fc74a92862a0011000a6c,3,"Laptop booting and apps starting takes too long to start... frequently lagging...didnt expected this much of slow start for i3 11th gen.. and also, Poor camera...It should be better...",", Chennai"
626fc74a92862a0011000a6c,2,It's taking more than a hour to restart and working processor is very slow.,", Bengaluru"
626fc74a92862a0011000a6d,5,"This is my first time buying an Acer laptop, and I am impressed. Purchased it two weeks back and it arrived in a good looking box, you could tell that they are have put in a lot of thought to make this product. The body design or texture is nothing like what I have seen before and I could not find one plastic packaging material used in the box. The laptop set up was rather easy and it boots real quick. Using it is a breeze and I proudly show it off to my friends now. I am the only one who use...",", Bengaluru"
626fc74a92862a0011000a70,1,Display is very bad and performance also not good it working slowly 8gb ram but also waste of that much coast so anybody don't buy this laptop.,", Kavali"
626fc74a92862a0011000a70,5,Aliya Super,", Adichanalloor"
626fc74a92862a0011000a71,4,Good product for normal works I open to Manny application and browser with Excel works everything running normal at same time,", Patna"
626fc74a92862a0011000a75,5,nice at the price range,", Kannauj District"
626fc74a92862a0011000a75,5,Very nice laptop best in this price,", Nashik District"
626fc74a92862a0011000a85,5,Very good product...very good speed coz of SSD and display quality also very good...,", Bachhrawan"
626fc74a92862a0011000a85,5,Good product,", Prayagraj"
626fc74a92862a0011000a89,4,Good product for normal works I open to Manny application and browser with Excel works everything running normal at same time,", Patna"
626fc74a92862a0011000a93,5,Best product!,", Vindhya Nagar Ntpc Township"
626fc74a92862a0011000a93,1,Worst product ever.. within one month not able power on the laptop..since I was purchased in India..now I am in Denmark..i need help to fix this..I have onsite warranty also..,", Chennai"
626fc74a92862a0011000a96,5,Superb look and performance. Thank you flipkart for the price.,", Visakhapatnam"
626fc74a92862a0011000a9a,1,the laptop which i received is the old model of hp pavillion (with only 2 usb ports ) .........now my money (87590)is stuck and can't return nor exchange my product ......,", Mapusa"
626fc74a92862a0011000a9a,5,i use this for coding thats all...,", Kurnool"
626fc74a92862a0011000a9a,4,Laptop is good but the speaker sound is low.,", Mughalsarai"
626fc74a92862a0011000aa1,4,Good product for normal works I open to Manny application and browser with Excel works everything running normal at same time,", Patna"
626fc74a92862a0011000a9d,5,"This is my first time buying an Acer laptop, and I am impressed. Purchased it two weeks back and it arrived in a good looking box, you could tell that they are have put in a lot of thought to make this product. The body design or texture is nothing like what I have seen before and I could not find one plastic packaging material used in the box. The laptop set up was rather easy and it boots real quick. Using it is a breeze and I proudly show it off to my friends now. I am the only one who use...",", Bengaluru"
626fc74a92862a0011000aa6,4,Valuable for money But Battery is Draining Fast,", Hyderabad"
626fc74a92862a0011000aa7,5,Nice experience,", Hyderabad"
626fc74a92862a0011000aa5,5,nice at the price range,", Kannauj District"
626fc74a92862a0011000aa5,5,Very nice laptop best in this price,", Nashik District"
626fc74a92862a0011000aae,3,I have using this laptop almost a month the battery is the worst I can say.. Battery doesn't even have for 2 hrs.. I have been using only for browsing...apart from batter rest all is good.. But without the good battery performance such a good product is not worth for money...,", Bangalore Urban"
626fc74a92862a0011000ab9,4,Good product for normal works I open to Manny application and browser with Excel works everything running normal at same time,", Patna"
626fc74a92862a0011000ab7,5,"Update: In the below review I have mentioned that the thermals of the laptop are not up to mark. After I complained about the same to Dell Service Center, they reached out and tried to resolve it as well. Long story short, they are now providing a free upgrade for free, as this is not normal behaviour. Thanks a lot for the support Alienware/Dell. I take my words back about bad thermals.",", Panchkula"
626fc74a92862a0011000ab8,5,"A perfect laptop for regular work like ms office,pic editing,music, watching movie and light weight too.",", Noida"
626fc74a92862a0011000ab8,5,Superb laptop battery life is very good,", Amadalavalasa"
626fc74a92862a0011000ab8,4,good,", Kawardha"
626fc74a92862a0011000abb,5,Very good features,", Dankuni"
626fc74a92862a0011000abb,5,Good,", Lucknow"
626fc74a92862a0011000abb,5,Nice product,", Hyderabad"
626fc74a92862a0011000ac2,3,Review after 3days usage ,", East Godavari District"
626fc74a92862a0011000ac7,5,Very good it come with pen and finger print sensor,", Bangalore"
626fc74a92862a0011000acd,5,"This is my first time buying an Acer laptop, and I am impressed. Purchased it two weeks back and it arrived in a good looking box, you could tell that they are have put in a lot of thought to make this product. The body design or texture is nothing like what I have seen before and I could not find one plastic packaging material used in the box. The laptop set up was rather easy and it boots real quick. Using it is a breeze and I proudly show it off to my friends now. I am the only one who use...",", Bengaluru"
626fc74a92862a0011000ad1,4,Good product for normal works I open to Manny application and browser with Excel works everything running normal at same time,", Patna"
626fc74a92862a0011000ad5,5,nice at the price range,", Kannauj District"
626fc74a92862a0011000ad5,5,Very nice laptop best in this price,", Nashik District"
626fc74a92862a0011000a83,5,Best laptop that I had,", New Delhi"
626fc74a92862a0011000ad6,5,THE BEST ONE.,", Sundargarh"
626fc74a92862a0011000ae9,4,Good product for normal works I open to Manny application and browser with Excel works everything running normal at same time,", Patna"
626fc74a92862a0011000af0,5,Loved it,", Hoskote"
626fc74a92862a0011000af5,5,nice at the price range,", Kannauj District"
